sku,type,sapo_available,sapo_remain
FM-ATSO01-DB-XL-FM-VSFM01-TR-XL,combo,56,0
FM-ATSO01-DB-XL-FM-VSFM01-TR-L,combo,56,0
FM-ATSO01-DB-XL-FM-VSFM01-TR-M,combo,56,0
FM-ATSO01-DB-XL-FM-VSFM01-TR-S,combo,56,0
FM-ATSO01-DB-L-FM-VSFM01-TR-XL,combo,104,0
FM-ATSO01-DB-L-FM-VSFM01-TR-L,combo,104,0
FM-ATSO01-DB-L-FM-VSFM01-TR-M,combo,104,0
FM-ATSO01-DB-L-FM-VSFM01-TR-S,combo,104,0
FM-ATSO01-DB-M-FM-VSFM01-TR-XL,combo,100,0
FM-ATSO01-DB-M-FM-VSFM01-TR-L,combo,100,0
FM-ATSO01-DB-M-FM-VSFM01-TR-M,combo,100,0
FM-ATSO01-DB-M-FM-VSFM01-TR-S,combo,100,0
FM-ATSO01-DB-S-FM-VSFM01-TR-XL,combo,90,0
FM-ATSO01-DB-S-FM-VSFM01-TR-L,combo,90,0
FM-ATSO01-DB-S-FM-VSFM01-TR-M,combo,90,0
FM-ATSO01-DB-S-FM-VSFM01-TR-S,combo,90,0
FM-ATSO01-DO-XL-FM-VSFM01-TR-XL,combo,68,0
FM-ATSO01-DO-XL-FM-VSFM01-TR-L,combo,68,0
FM-ATSO01-DO-XL-FM-VSFM01-TR-M,combo,68,0
FM-ATSO01-DO-XL-FM-VSFM01-TR-S,combo,68,0
FM-ATSO01-DO-L-FM-VSFM01-TR-XL,combo,108,0
FM-ATSO01-DO-L-FM-VSFM01-TR-L,combo,108,0
FM-ATSO01-DO-L-FM-VSFM01-TR-M,combo,108,0
FM-ATSO01-DO-L-FM-VSFM01-TR-S,combo,108,0
FM-ATSO01-DO-M-FM-VSFM01-TR-XL,combo,109,0
FM-ATSO01-DO-M-FM-VSFM01-TR-L,combo,109,0
FM-ATSO01-DO-M-FM-VSFM01-TR-M,combo,109,0
FM-ATSO01-DO-M-FM-VSFM01-TR-S,combo,109,0
FM-ATSO01-DO-S-FM-VSFM01-TR-XL,combo,88,0
FM-ATSO01-DO-S-FM-VSFM01-TR-L,combo,88,0
FM-ATSO01-DO-S-FM-VSFM01-TR-M,combo,88,0
FM-ATSO01-DO-S-FM-VSFM01-TR-S,combo,88,0
FM-ATSO01-HP-XL-FM-QDZT01-DE-XL,combo,218,0
FM-ATSO01-HP-XL-FM-QDZT01-DE-L,combo,218,0
FM-ATSO01-HP-XL-FM-QDZT01-DE-M,combo,218,0
FM-ATSO01-HP-XL-FM-QDZT01-DE-S,combo,218,0
FM-ATSO01-HP-L-FM-QDZT01-DE-XL,combo,334,0
FM-ATSO01-HP-L-FM-QDZT01-DE-L,combo,381,0
FM-ATSO01-HP-L-FM-QDZT01-DE-M,combo,381,0
FM-ATSO01-HP-L-FM-QDZT01-DE-S,combo,381,0
FM-ATSO01-HP-M-FM-QDZT01-DE-XL,combo,334,0
FM-ATSO01-HP-M-FM-QDZT01-DE-L,combo,605,0
FM-ATSO01-HP-M-FM-QDZT01-DE-M,combo,605,0
FM-ATSO01-HP-M-FM-QDZT01-DE-S,combo,515,0
FM-ATSO01-HP-S-FM-QDZT01-DE-XL,combo,334,0
FM-ATSO01-HP-S-FM-QDZT01-DE-L,combo,441,0
FM-ATSO01-HP-S-FM-QDZT01-DE-M,combo,441,0
FM-ATSO01-HP-S-FM-QDZT01-DE-S,combo,441,0
FM-ATBL01-DE-XL-FM-QLTG01-DE-XL,combo,0,0
FM-ATBL01-DE-XL-FM-QLTG01-DE-L,combo,0,0
FM-ATBL01-DE-XL-FM-QLTG01-DE-M,combo,0,0
FM-ATBL01-DE-XL-FM-QLTG01-DE-S,combo,0,0
FM-ATBL01-DE-L-FM-QLTG01-DE-XL,combo,42,0
FM-ATBL01-DE-L-FM-QLTG01-DE-L,combo,44,0
FM-ATBL01-DE-L-FM-QLTG01-DE-M,combo,46,0
FM-ATBL01-DE-L-FM-QLTG01-DE-S,combo,46,0
FM-ATBL01-DE-M-FM-QLTG01-DE-XL,combo,2,0
FM-ATBL01-DE-M-FM-QLTG01-DE-L,combo,4,0
