sku,type,sapo_available,shopify_available,diff,sapo_remain,shopify_remain
FM-BRSO01-DE-L,normal,21,1,20,0,1
FM-ATSO01-XR-XL,normal,77,1,76,0,1
FM-ATSO01-XR-L,normal,217,1,216,0,1
FM-ATSO01-XR-M,normal,253,1,252,0,1
FM-ATSO01-XR-S,normal,71,1,70,0,1
FM-ATSO01-XN-XL,normal,200,1,199,0,1
FM-ATSO01-XN-L,normal,273,1,272,0,1
FM-ATSO01-XN-M,normal,329,1,328,0,1
FM-ATSO01-XN-S,normal,100,1,99,0,1
FM-ATSO01-TR-XL,normal,85,1,84,0,1
FM-ATSO01-TR-L,normal,206,1,205,0,1
FM-ATSO01-TR-M,normal,242,1,241,0,1
FM-ATSO01-TR-S,normal,164,1,163,0,1
FM-ATSO01-DE-XL,normal,67,1,66,0,1
FM-ATSO01-DE-L,normal,144,1,143,0,1
FM-ATSO01-DE-M,normal,164,1,163,0,1
FM-ATSO01-DE-S,normal,39,1,38,0,1
FM-ATSO02-XN-XL,normal,0,1,-1,0,1
FM-ATSO02-XN-L,normal,7,1,6,0,1
FM-ATSO02-XN-M,normal,23,1,22,0,1
FM-ATSO02-XN-S,normal,24,1,23,0,1
FM-ATSO02-TR-XL,normal,31,1,30,0,1
FM-ATSO02-TR-L,normal,24,1,23,0,1
FM-ATSO02-TR-M,normal,8,1,7,0,1
FM-ATSO02-TR-S,normal,27,1,26,0,1
FM-ATSO02-DE-L,normal,21,1,20,0,1
FM-ATSO02-DE-M,normal,10,1,9,0,1
FM-ATSO02-DE-S,normal,42,1,41,0,1
FM-BAFM01-WN,normal,11,1,10,0,1
FM-BAFM01-WB,normal,14,1,13,0,1
FM-DTNN01-DO-XL,normal,68,1,67,0,1
FM-DTNN01-DO-L,normal,212,1,211,0,1
FM-DTNN01-DO-M,normal,220,1,219,0,1
FM-DTNN01-DO-S,normal,142,1,141,0,1
FM-BRGL02-DG-L,normal,28,1,27,0,1
FM-BRGL02-DG-XL,normal,44,1,43,0,1
FM-BRGL02-DE-L,normal,15,1,14,0,1
FM-BRGL02-DE-XL,normal,30,1,29,0,1
FM-BRGL02-HP-L,normal,-1,0,-1,0,0
FM-BRGL02-HP-XL,normal,16,1,15,0,1
FM-BRGL01-DE-M,normal,84,1,83,0,1
FM-BRGL01-DE-S,normal,74,1,73,0,1
FM-BRGL01-DE-XL,normal,5,1,4,0,1
FM-BRGL01-TR-L,normal,12,1,11,0,1
FM-BRGL01-TR-M,normal,87,1,86,0,1
FM-BRGL01-TR-S,normal,53,1,52,0,1
FM-BRGL01-TR-XL,normal,16,1,15,0,1
FM-VXGL01-TR-XL,normal,46,1,45,0,1
FM-VXGL01-TR-L,normal,53,1,52,0,1
FM-VXGL01-TR-M,normal,60,1,59,0,1
FM-VXGL01-TR-S,normal,35,1,34,0,1
FM-VXGL01-DE-XL,normal,30,1,29,0,1
FM-VXGL01-DE-L,normal,42,1,41,0,1
FM-VXGL01-DE-M,normal,42,1,41,0,1
FM-VXGL01-DE-S,normal,19,1,18,0,1
FM-VXGL01-BN-XL,normal,37,1,36,0,1
FM-VXGL01-BN-L,normal,62,1,61,0,1
FM-VXGL01-BN-M,normal,49,1,48,0,1
FM-VXGL01-BN-S,normal,21,1,20,0,1
FM-QSGL01-TR-XL,normal,36,1,35,0,1
FM-QSGL01-TR-L,normal,158,1,157,0,1
FM-QSGL01-TR-M,normal,117,1,116,0,1
FM-QSGL01-TR-S,normal,95,1,94,0,1
FM-QSGL01-DE-L,normal,0,1,-1,0,1
FM-QSGL01-DE-S,normal,27,1,26,0,1
FM-BRGL04-TR-L,normal,59,1,58,0,1
FM-BRGL04-TR-M,normal,48,1,47,0,1
