platform,issue_type,sku,sapo_available,platform_available
pancake,extra_on_platform,6463-2,,0
pancake,extra_on_platform,6496-2,,0
pancake,extra_on_platform,6497-2,,0
pancake,extra_on_platform,6498-2,,0
pancake,extra_on_platform,6499-2,,0
pancake,extra_on_platform,6500-2,,0
pancake,extra_on_platform,6501-2,,0
pancake,extra_on_platform,6502-2,,0
pancake,extra_on_platform,6503-2,,0
pancake,extra_on_platform,6504-2,,0
pancake,extra_on_platform,6505-2,,0
pancake,extra_on_platform,6506-2,,0
pancake,extra_on_platform,6507-2,,0
pancake,extra_on_platform,6508-2,,0
pancake,extra_on_platform,6509-2,,0
pancake,extra_on_platform,6510-2,,0
pancake,extra_on_platform,6511-2,,0
pancake,extra_on_platform,6624-2,,0
pancake,extra_on_platform,6625-2,,0
pancake,extra_on_platform,6626-2,,0
pancake,extra_on_platform,6627-2,,0
pancake,extra_on_platform,6628-2,,0
pancake,extra_on_platform,6629-2,,0
pancake,extra_on_platform,6630-2,,0
pancake,extra_on_platform,6631-2,,0
pancake,extra_on_platform,6632-2,,0
pancake,extra_on_platform,6633-2,,0
pancake,extra_on_platform,6634-2,,0
pancake,extra_on_platform,6635-2,,0
pancake,extra_on_platform,6636-2,,0
pancake,extra_on_platform,6637-2,,0
pancake,extra_on_platform,6638-2,,0
pancake,extra_on_platform,6639-2,,0
pancake,extra_on_platform,6640-2,,0
pancake,extra_on_platform,6641-2,,0
pancake,extra_on_platform,6642-2,,0
pancake,extra_on_platform,6643-2,,0
pancake,extra_on_platform,6644-2,,0
pancake,extra_on_platform,6645-2,,0
pancake,extra_on_platform,6646-2,,0
pancake,extra_on_platform,6647-2,,0
pancake,extra_on_platform,6648-2,,0
pancake,extra_on_platform,6649-2,,0
pancake,extra_on_platform,6650-2,,0
pancake,extra_on_platform,6651-2,,0
pancake,extra_on_platform,6652-2,,0
pancake,extra_on_platform,6653-2,,0
pancake,extra_on_platform,6654-2,,0
pancake,extra_on_platform,6655-2,,0
pancake,extra_on_platform,6656-2,,0
pancake,extra_on_platform,6657-2,,0
pancake,extra_on_platform,6658-2,,0
pancake,extra_on_platform,6659-2,,0
pancake,extra_on_platform,6660-2,,0
pancake,extra_on_platform,6661-2,,0
pancake,extra_on_platform,6662-2,,0
pancake,extra_on_platform,6663-2,,0
pancake,extra_on_platform,6664-2,,0
pancake,extra_on_platform,6665-2,,0
pancake,extra_on_platform,6666-2,,0
pancake,extra_on_platform,6667-2,,0
pancake,extra_on_platform,6668-2,,0
pancake,extra_on_platform,6669-2,,0
pancake,extra_on_platform,6670-2,,0
pancake,extra_on_platform,6671-2,,0
pancake,extra_on_platform,6672-2,,0
pancake,extra_on_platform,6673-2,,0
pancake,extra_on_platform,6674-2,,0
pancake,extra_on_platform,6675-2,,0
pancake,extra_on_platform,6676-2,,0
pancake,extra_on_platform,6677-2,,0
pancake,extra_on_platform,6678-2,,0
pancake,extra_on_platform,6679-2,,0
pancake,extra_on_platform,6680-2,,0
pancake,extra_on_platform,6681-2,,0
pancake,extra_on_platform,6682-2,,0
pancake,extra_on_platform,6683-2,,0
pancake,extra_on_platform,6684-2,,0
pancake,extra_on_platform,6685-2,,0
