sku,status,diff_sapo_minus_pancake,sapo_available,pancake_available,sapo_remain,pancake_remain,sapo_name,pancake_name,sapo_variant_count,pancake_variant_count
FM-ATSP01-XN-S-FM-QDZT01-DE-XL,mismatch,-18,97,115,0,115,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-XL,mismatch,-4,88,92,0,92,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XN-XL,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn chơi pickleball tennis đồ thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XN-XL,1,1
FM-ATSP01-XN-XL-FM-QDZT01-DE-2XL,mismatch,-4,88,92,0,92,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-XL-FM-QDZT01-DE-L,mismatch,-4,88,92,0,92,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-XL-FM-QDZT01-DE-M,mismatch,-4,88,92,0,92,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-XL-FM-QDZT01-DE-S,mismatch,-29,43,72,0,72,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XN-XL-FM-QDZT01-DE-XL,mismatch,-4,88,92,0,92,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Navy, quần legging Zeta Đen co giãn 4 chiều",1,1
FM-ATSP01-XR-L,mismatch,-1,199,200,0,200,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XR-L,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn chơi pickleball tennis đồ thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XR-L,1,1
FM-ATSP01-XR-L-FM-QDZT01-RG-2XL,matched,0,118,118,0,118,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-L-FM-QDZT01-RG-L,mismatch,-6,29,35,0,35,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-L-FM-QDZT01-RG-M,matched,0,0,0,0,0,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-L-FM-QDZT01-RG-S,matched,0,0,0,0,0,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
