sku,status,reason,action,sapoAvailable,pancakeAvailable,shopifyAvailable,sapoName,pancakeName,shopifyName
10956-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-DE-S",
10957-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-DE-XL",
10958-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-SA-2XL",
10959-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-SA-L",
10960-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-SA-M",
10961-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-SA-S",
10962-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-SA-XL",
10963-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-TR-2XL",
10964-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-TR-L",
10965-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-TR-M",
10966-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-TR-S",
10967-1,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-TR-XL",
3342-10,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Áo bra tập gym yoga nữ Fitme Flow thể thao dây chéo có mút chống sốc nâng ngực Racer Back - BRRB,
3342-11,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Áo bra tập gym yoga nữ Fitme Flow thể thao dây chéo có mút chống sốc nâng ngực Racer Back - BRRB,
3342-12,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Áo bra tập gym yoga nữ Fitme Flow thể thao dây chéo có mút chống sốc nâng ngực Racer Back - BRRB,
3342-9,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Áo bra tập gym yoga nữ Fitme Flow thể thao dây chéo có mút chống sốc nâng ngực Racer Back - BRRB,
3641-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-BN-M,
3642-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-BN-S,
3643-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-BN-XL,
3644-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-NN-L,
3645-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-NN-M,
3646-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-NN-S,
3647-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-NN-XL,
